id_producto,nombre_producto,categoria,precio_unitario
172,Insecticida Plus,limpieza,2364
173,Atún al Natural Premium,alimentos,2401
174,Insecticida Premium,limpieza,2438
175,Atún al Natural Clásico,alimentos,2475
176,Insecticida Clásico,limpieza,2512
177,Jardinera Aurelion,alimentos,2549
178,Desodorante Ambiente Aurelion,limpieza,2586
179,Jardinera Max,alimentos,2623
180,Desodorante Ambiente Max,limpieza,2660
181,Jardinera Ultra,alimentos,2697
182,Desodorante Ambiente Ultra,limpieza,2734
183,Jardinera Eco,alimentos,2771
184,Desodorante Ambiente Eco,limpieza,2808
185,Jardinera Bio,alimentos,2845
186,Desodorante Ambiente Bio,limpieza,2882
187,Jardinera Plus,alimentos,2919
188,Desodorante Ambiente Plus,limpieza,2956
189,Jardinera Premium,alimentos,2993
190,Desodorante Ambiente Premium,limpieza,3030
191,Jardinera Clásico,alimentos,3067
192,Desodorante Ambiente Clásico,limpieza,3104
193,Mermelada Durazno Aurelion,alimentos,3141
194,Papel Higiénico Aurelion,limpieza,3178
195,Mermelada Durazno Max,alimentos,3215
196,Papel Higiénico Max,limpieza,3252
197,Mermelada Durazno Ultra,alimentos,3289
198,Papel Higiénico Ultra,limpieza,3326
199,Mermelada Durazno Eco,alimentos,3363
200,Papel Higiénico Eco,limpieza,3400
201,Mermelada Durazno Bio,alimentos,3437
202,Papel Higiénico Bio,limpieza,3474
203,Mermelada Durazno Plus,alimentos,3511
204,Papel Higiénico Plus,limpieza,3548
205,Mermelada Durazno Premium,alimentos,3585
206,Papel Higiénico Premium,limpieza,3622
207,Mermelada Durazno Clásico,alimentos,3659
208,Papel Higiénico Clásico,limpieza,3696
209,Dulce de Leche Aurelion,alimentos,3733
210,Rollo de Cocina Aurelion,limpieza,3770
211,Dulce de Leche Max,alimentos,3807
212,Rollo de Cocina Max,limpieza,3844
213,Dulce de Leche Ultra,alimentos,3881
214,Rollo de Cocina Ultra,limpieza,3918
215,Dulce de Leche Eco,alimentos,3955
216,Rollo de Cocina Eco,limpieza,3992
217,Dulce de Leche Bio,alimentos,4029
218,Rollo de Cocina Bio,limpieza,4066
219,Dulce de Leche Plus,alimentos,4103
220,Rollo de Cocina Plus,limpieza,4140
221,Dulce de Leche Premium,alimentos,4177
222,Rollo de Cocina Premium,limpieza,4214
223,Dulce de Leche Clásico,alimentos,4251
224,Rollo de Cocina Clásico,limpieza,4288
225,Café Molido Aurelion,alimentos,4325
226,Servilletas Aurelion,limpieza,4362
227,Café Molido Max,alimentos,4399
228,Servilletas Max,limpieza,4436
229,Café Molido Ultra,alimentos,4473
230,Servilletas Ultra,limpieza,4510
231,Café Molido Eco,alimentos,4547
232,Servilletas Eco,limpieza,4584
233,Café Molido Bio,alimentos,4621
234,Servilletas Bio,limpieza,4658
235,Café Molido Plus,alimentos,4695
236,Servilletas Plus,limpieza,4732
237,Café Molido Premium,alimentos,4769
238,Servilletas Premium,limpieza,4806
239,Café Molido Clásico,alimentos,4843
240,Servilletas Clásico,limpieza,4880
241,Té en Saquitos Aurelion,alimentos,4917
242,Esponja Multiuso Aurelion,limpieza,4954
243,Té en Saquitos Max,alimentos,4991
244,Esponja Multiuso Max,limpieza,528
245,Té en Saquitos Ultra,alimentos,565
246,Esponja Multiuso Ultra,limpieza,602
247,Té en Saquitos Eco,alimentos,639
248,Esponja Multiuso Eco,limpieza,676
249,Té en Saquitos Bio,alimentos,713
250,Esponja Multiuso Bio,limpieza,750
251,Té en Saquitos Plus,alimentos,787
252,Esponja Multiuso Plus,limpieza,824
253,Té en Saquitos Premium,alimentos,861
254,Esponja Multiuso Premium,limpieza,898
255,Té en Saquitos Clásico,alimentos,935
256,Esponja Multiuso Clásico,limpieza,972
257,Cacao en Polvo Aurelion,alimentos,1009
258,Lana de Acero Aurelion,limpieza,1046
259,Cacao en Polvo Max,alimentos,1083
260,Lana de Acero Max,limpieza,1120
261,Cacao en Polvo Ultra,alimentos,1157
262,Lana de Acero Ultra,limpieza,1194
263,Cacao en Polvo Eco,alimentos,1231
264,Lana de Acero Eco,limpieza,1268
265,Cacao en Polvo Bio,alimentos,1305
266,Lana de Acero Bio,limpieza,1342
267,Cacao en Polvo Plus,alimentos,1379
268,Lana de Acero Plus,limpieza,1416
269,Cacao en Polvo Premium,alimentos,1453
270,Lana de Acero Premium,limpieza,1490
271,Cacao en Polvo Clásico,alimentos,1527
272,Lana de Acero Clásico,limpieza,1564
273,Mayonesa Aurelion,alimentos,1601
274,Trapo de Piso Aurelion,limpieza,1638
275,Mayonesa Max,alimentos,1675
276,Trapo de Piso Max,limpieza,1712
277,Mayonesa Ultra,alimentos,1749
278,Trapo de Piso Ultra,limpieza,1786
279,Mayonesa Eco,alimentos,1823
280,Trapo de Piso Eco,limpieza,1860
281,Mayonesa Bio,alimentos,1897
282,Trapo de Piso Bio,limpieza,1934
283,Mayonesa Plus,alimentos,1971
284,Trapo de Piso Plus,limpieza,2008
285,Mayonesa Premium,alimentos,2045
286,Trapo de Piso Premium,limpieza,2082
287,Mayonesa Clásico,alimentos,2119
288,Trapo de Piso Clásico,limpieza,2156
289,Salsa de Tomate Aurelion,alimentos,2193
290,Paño Microfibra Aurelion,limpieza,2230
291,Salsa de Tomate Max,alimentos,2267
292,Paño Microfibra Max,limpieza,2304
293,Salsa de Tomate Ultra,alimentos,2341
294,Paño Microfibra Ultra,limpieza,2378
295,Salsa de Tomate Eco,alimentos,2415
296,Paño Microfibra Eco,limpieza,2452
297,Salsa de Tomate Bio,alimentos,2489
298,Paño Microfibra Bio,limpieza,2526
299,Salsa de Tomate Plus,alimentos,2563
300,Paño Microfibra Plus,limpieza,2600
301,Salsa de Tomate Premium,alimentos,2637
302,Paño Microfibra Premium,limpieza,2674
303,Salsa de Tomate Clásico,alimentos,2711
304,Paño Microfibra Clásico,limpieza,2748
305,Vinagre de Alcohol Aurelion,alimentos,2785
306,Bolsas de Residuos Aurelion,limpieza,2822
307,Vinagre de Alcohol Max,alimentos,2859
308,Bolsas de Residuos Max,limpieza,2896
309,Vinagre de Alcohol Ultra,alimentos,2933
310,Bolsas de Residuos Ultra,limpieza,2970
311,Vinagre de Alcohol Eco,alimentos,3007
312,Bolsas de Residuos Eco,limpieza,3044
313,Vinagre de Alcohol Bio,alimentos,3081
314,Bolsas de Residuos Bio,limpieza,3118
315,Vinagre de Alcohol Plus,alimentos,3155
316,Bolsas de Residuos Plus,limpieza,3192
317,Vinagre de Alcohol Premium,alimentos,3229
318,Bolsas de Residuos Premium,limpieza,3266
319,Vinagre de Alcohol Clásico,alimentos,3303
320,Bolsas de Residuos Clásico,limpieza,3340
